"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"JIOFIN","EQ","18-Mar-2024","344.75","346.95","359.70","342.50","353.40","352.55","354.76","4,83,65,406","17,15,81,72,716.45","3,75,095","1,08,69,937","22.47"
"JIOFIN","EQ","19-Mar-2024","352.55","353.40","357.90","347.00","353.55","353.30","353.63","4,20,07,913","14,85,51,92,864.30","2,75,768","1,04,14,977","24.79"
"JIOFIN","EQ","20-Mar-2024","353.30","353.30","356.35","335.65","338.00","337.50","342.56","5,09,83,696","17,46,50,85,201.20","3,74,071","1,55,00,043","30.40"
"JIOFIN","EQ","21-Mar-2024","337.50","344.50","348.30","337.10","339.75","338.70","343.05","2,87,31,856","9,85,65,81,053.45","2,16,142","1,01,48,135","35.32"
"JIOFIN","EQ","22-Mar-2024","338.70","338.00","346.90","336.70","346.20","344.65","343.25","2,05,48,126","7,05,31,27,023.75","1,48,880","63,37,443","30.84"
"JIOFIN","EQ","26-Mar-2024","344.65","345.00","352.50","343.55","346.20","346.15","346.96","2,71,68,989","9,42,65,18,514.25","2,07,536","1,17,99,152","43.43"
"JIOFIN","EQ","27-Mar-2024","346.15","348.25","355.60","348.00","349.90","350.70","351.59","5,00,90,709","17,61,15,28,617.25","2,76,216","2,66,72,012","53.25"
"JIOFIN","EQ","28-Mar-2024","350.70","354.85","357.75","350.40","353.90","353.75","353.57","2,26,77,067","8,01,80,20,021.65","1,66,634","97,59,167","43.04"
"JIOFIN","EQ","01-Apr-2024","353.75","357.00","364.20","355.60","357.90","356.95","358.96","2,36,44,472","8,48,74,85,998.45","1,84,560","98,87,050","41.82"
"JIOFIN","EQ","02-Apr-2024","356.95","359.00","362.85","356.50","357.95","357.10","359.04","2,96,84,726","10,65,81,25,059.05","1,77,541","1,62,47,259","54.73"
"JIOFIN","EQ","03-Apr-2024","357.10","356.50","359.80","353.20","357.00","357.10","356.65","1,79,20,490","6,39,13,43,231.25","1,40,410","64,60,171","36.05"
"JIOFIN","EQ","04-Apr-2024","357.10","359.40","367.80","358.00","362.20","361.30","362.67","3,39,26,426","12,30,40,97,378.45","2,12,104","1,13,15,136","33.35"
"JIOFIN","EQ","05-Apr-2024","361.30","361.00","374.85","359.05","373.00","373.20","369.34","4,69,79,676","17,35,13,39,873.25","2,96,698","1,43,10,509","30.46"
"JIOFIN","EQ","08-Apr-2024","373.20","376.00","378.70","367.55","369.35","369.25","372.68","3,28,53,747","12,24,38,73,657.55","2,48,246","1,49,50,148","45.51"
"JIOFIN","EQ","09-Apr-2024","369.25","371.00","374.70","365.40","368.00","367.70","370.40","2,33,67,026","8,65,51,44,476.55","1,70,973","87,37,901","37.39"
"JIOFIN","EQ","10-Apr-2024","367.70","369.65","372.40","367.55","370.95","370.45","369.96","1,65,40,320","6,11,92,05,561.95","1,42,554","69,92,948","42.28"
"JIOFIN","EQ","12-Apr-2024","370.45","370.15","378.85","368.20","372.70","372.20","373.72","3,24,81,005","12,13,87,78,962.40","2,44,092","1,09,11,241","33.59"
"JIOFIN","EQ","15-Apr-2024","372.20","362.00","362.95","351.00","355.20","354.30","356.34","4,62,81,481","16,49,20,14,034.00","4,56,323","2,20,40,884","47.62"
"JIOFIN","EQ","16-Apr-2024","354.30","364.90","371.95","360.10","362.70","361.85","365.44","4,89,21,026","17,87,75,90,074.20","4,09,066","1,60,84,248","32.88"